Dataset,VariantKey,Variant,MetricKey,Metric,Value,SampleCount,FeatureDim,Folds,KnnNeighbors,Classes
CTRLZ/Hend/New/w,baseline,Базовый pipeline,accuracy,Accuracy,0.888889,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,baseline,Базовый pipeline,macro_precision,Macro precision,0.897500,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,baseline,Базовый pipeline,macro_recall,Macro recall,0.887500,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,baseline,Базовый pipeline,macro_f1,Macro F1,0.887983,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,train_standardize,Стандартизация,accuracy,Accuracy,0.901235,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,train_standardize,Стандартизация,macro_precision,Macro precision,0.908343,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,train_standardize,Стандартизация,macro_recall,Macro recall,0.900000,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,train_standardize,Стандартизация,macro_f1,Macro F1,0.899695,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_mean_center,Центрирование примера,accuracy,Accuracy,0.925926,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_mean_center,Центрирование примера,macro_precision,Macro precision,0.925144,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_mean_center,Центрирование примера,macro_recall,Macro recall,0.925000,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_mean_center,Центрирование примера,macro_f1,Macro F1,0.924225,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_l2_normalize,L2-нормализация,accuracy,Accuracy,0.864198,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_l2_normalize,L2-нормализация,macro_precision,Macro precision,0.876866,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_l2_normalize,L2-нормализация,macro_recall,Macro recall,0.862500,81,42,5,5,"CTRLZ, Hend, New, w"
CTRLZ/Hend/New/w,sample_l2_normalize,L2-нормализация,macro_f1,Macro F1,0.862876,81,42,5,5,"CTRLZ, Hend, New, w"
