Dataset,Class,SampleCount,ReadableSampleCount,MinSamplesForChart,Status,Note
CTRLZ/Hend/New/w,CTRLZ,21,21,20,ready,Достаточно семплов для локальной оценки
CTRLZ/Hend/New/w,Hend,20,20,20,ready,Достаточно семплов для локальной оценки
CTRLZ/Hend/New/w,New,20,20,20,ready,Достаточно семплов для локальной оценки
CTRLZ/Hend/New/w,Newest,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,Open,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,hello,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,palm,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,peace_sign,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,swipe_right,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,test_gesture,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,thumbs_up,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
CTRLZ/Hend/New/w,w,20,20,20,ready,Достаточно семплов для локальной оценки
CTRLZ/Hend/New/w,ываы,0,0,20,empty,"Папка есть, но sample_*.npy пока нет"
